i;T_Z;k_f;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
555;0.3;0.5;1.00112552450918;1.32059607395229;0.891983445263739;0.972012046403157;1.42874550071683;1.02464439224784;-0.352812469005585;-0.753248155117035;0.296773284673691;0.00400903914123774;0.00453998800367117;0.00040793584776111;-0.407446175813675;0.246385514736176;0.299159228801727;0.0107691381126642;0.0160184130072594;0.0274329129606485;0.563354015350342;0.197863280773163;0.301679790019989;-0.0139046860858798;-0.00505913188681006;-0.00265592220239341;0.53616464138031;-0.826420307159424;0.294798612594604;-0.00946194957941771;0.0350370109081268;0.00436446303501725
556;0.3;0.5;1.00171091732732;1.31873706319911;0.891562487715516;0.967767043348936;1.42594203673556;1.02175655753769;-0.352992713451385;-0.752745270729065;0.296542525291443;-0.0068376325070858;0.00589374080300331;0.00503833964467049;-0.40521451830864;0.247603490948677;0.302587807178497;0.0208772774785757;0.00564397685229778;0.0266370214521885;0.561261236667633;0.1976268440485;0.300258904695511;-0.0123838828876615;0.000363995670340955;-0.00543508166447282;0.535732984542847;-0.823810756206512;0.294240355491638;0.00446414295583963;0.0202773530036211;0.00548713887110353
557;0.3;0.5;1.00065165636036;1.31819133021736;0.893552694011415;0.963244508385104;1.42312177280049;1.0201988263705;-0.353815615177155;-0.75218540430069;0.297973304986954;-0.0097195478156209;0.00388270686380565;0.0184281244874001;-0.402095407247543;0.247300863265991;0.30509552359581;0.0358227789402008;-0.00667273020371795;0.0208402574062347;0.559884667396545;0.197962045669556;0.299303561449051;-0.0139932008460164;0.00497251190245152;-0.00794947613030672;0.537007093429565;-0.821980237960815;0.294098049402237;0.0225692838430405;0.0125561589375138;0.008584164083004
558;0.3;0.5;0.999545221955436;1.31829037650147;0.89664701346578;0.957238527028428;1.41943966826699;1.01860505885522;-0.35476016998291;-0.75191593170166;0.29982528090477;-0.00762297492474318;0.00219306093640625;0.0242556147277355;-0.397546201944351;0.246713131666183;0.307703971862793;0.0393411926925182;-0.0025440922472626;0.00663874018937349;0.558492422103882;0.198799178004265;0.299226939678192;-0.0136171784251928;0.0110429460182786;0.00795489456504583;0.539326667785645;-0.819625556468964;0.295055240392685;0.0286340191960335;0.0165659841150045;0.0205507036298513
559;0.3;0.5;1.00578945220052;1.33958559395452;0.919825114163365;0.953143687616442;1.41661312430944;1.01804670975503;-0.376383274793625;-0.759209156036377;0.282098442316055;-0.0406553633511066;-0.0216592308133841;0.00187791639473289;-0.39430370926857;0.246420636773109;0.308505743741989;0.0219690203666687;-0.00253531523048878;3.55220763594843E-05;0.557754039764404;0.200935125350952;0.299386829137802;-0.00886645913124085;0.0225621964782476;0.00538676185533404;0.541625618934631;-0.816983819007874;0.296205401420593;0.0281698741018772;0.0204204693436623;0.0259414128959179
560;0.3;0.5;1.02767147195977;1.34569505079399;0.924713593564385;0.967579670458439;1.43885133750278;1.01767507528975;-0.380021005868912;-0.761445939540863;0.282846361398697;-0.0276693291962147;-0.022285794839263;0.0225598998367786;-0.407716453075409;0.265852272510529;0.287071853876114;-0.0259400475770235;0.0237447023391724;-0.0510955899953842;0.557857394218445;0.203582182526588;0.300058126449585;-0.00216584280133247;0.0276675466448069;0.0128800673410296;0.543198704719543;-0.81398731470108;0.297446221113205;0.0203774720430374;0.0158545300364494;0.028351366519928
561;0.3;0.5;1.03197592961079;1.35247963782655;0.929505637243019;0.970995348408812;1.44064681046516;1.01722493864928;-0.383749663829803;-0.763147056102753;0.285711348056793;-0.0197968278080225;-0.0133574614301324;0.0441177785396576;-0.410526126623154;0.268481433391571;0.282359600067139;-0.0332194902002811;0.0067667355760932;-0.0439168363809586;0.558525204658508;0.207069024443626;0.301387935876846;0.00287140137515962;0.0246882792562246;0.0126951653510332;0.544571340084076;-0.810060203075409;0.299440056085587;0.0195081643760204;0.0173764042556286;0.0285416096448898
562;0.3;0.5;1.03198659759567;1.35708588260971;0.931087569591264;0.974680007781334;1.4388429669013;1.01592967795785;-0.385103285312653;-0.764019310474396;0.290507614612579;-0.00758324982598424;-0.00426027737557888;0.0520334914326668;-0.412913918495178;0.267592489719391;0.279165476560593;-0.0289788004010916;-0.0186651442199945;-0.0172806475311518;0.560052394866943;0.209819912910461;0.302945166826248;0.0136507237330079;0.0250643137842417;0.0208562631160021;0.54503744840622;-0.805998802185059;0.301205039024353;0.00888435635715723;0.0201069600880146;0.02224275842309
563;0.3;0.5;1.02653802279876;1.35663347882656;0.92816187478598;0.977542677478143;1.43381572162865;1.01388593509991;-0.382542282342911;-0.761740207672119;0.285613119602203;0.00725220702588558;0.00380985601805151;0.0293097514659166;-0.414088487625122;0.264312982559204;0.278831779956818;-0.0134369302541018;-0.0374634601175785;0.00864501856267452;0.562054038047791;0.212011396884918;0.304368734359741;0.017073929309845;0.0127805285155773;0.0142003679648042;0.544757843017578;-0.801726996898651;0.302950233221054;9.3860668130219E-05;0.0196621492505074;0.0222462564706802
564;0.3;0.5;1.02089672540552;1.35613842828389;0.925449221032073;0.978283848732487;1.42657196111813;1.01061509724699;-0.380077064037323;-0.7601158618927;0.282652616500854;0.011724348179996;0.00607604859396815;0.0185487102717161;-0.412898421287537;0.260253131389618;0.28178870677948;0.0035686066839844;-0.0389756895601749;0.03193099796772;0.564253389835358;0.213203936815262;0.305240422487259;0.0185184981673956;-0.0011082561686635;0.00936518982052803;0.544628024101257;-0.797220587730408;0.303398936986923;-0.00227839150466025;0.0224742107093334;0.000768775527831167
