i;T_Z;k_f;k_v;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
16;0.3;15.5;5.2;0.4;0.898062572890953;0.937435148789269;1.43770571109769;1.16902569947665;1.32710696584854;0.580830797617158;-0.449072748422623;1.68131196498871;0.257014632225037;0.0106717720627785;-0.0107467630878091;0.110025353729725;-0.400709748268127;2.5780713558197;0.259707003831863;-0.0385166183114052;-0.0927039384841919;0.0679491013288498;0.479637861251831;1.80891001224518;0.255318343639374;-0.00323118059895933;-0.0015026330947876;0.0742043480277061;0.879888772964478;2.22981810569763;0.303392380475998;-0.0127371707931161;-0.217548504471779;0.00987784564495087
17;0.3;15.5;5.2;0.4;0.889825869754894;0.936228728401075;1.42979959735911;1.16523930205781;1.337842675111;0.563917724784644;-0.447360873222351;1.68012773990631;0.265406936407089;0.00712558021768928;-0.0193047430366278;0.0869955196976662;-0.403471171855927;2.56887054443359;0.265773594379425;-0.0356215611100197;-0.10088562220335;0.0597496032714844;0.47995075583458;1.80903613567352;0.263113558292389;-0.00265101622790098;-0.00269081769511104;0.076921321451664;0.883384048938751;2.20304727554321;0.284631758928299;-0.0104848947376013;-0.25207594037056;-0.0548586659133434
18;0.3;15.5;5.2;0.4;0.875842633109762;0.933419954191639;1.41724806416353;1.15922995416489;1.34410999118988;0.545694089458404;-0.444497734308243;1.68050217628479;0.274997383356094;0.00683487532660365;-0.0160013381391764;0.0821173414587975;-0.406365871429443;2.55551433563232;0.279188394546509;-0.0341633930802345;-0.100622266530991;0.105160683393478;0.480100870132446;1.80852651596069;0.270987421274185;-8.08168406365439E-05;-0.00753363873809576;0.0662406012415886;0.883166253566742;2.17638564109802;0.27160707116127;-0.0204640254378319;-0.242346078157425;-0.0681556537747383
19;0.3;15.5;5.2;0.4;0.866324484568795;0.932544927015416;1.4053827307895;1.155743437453;1.34644877823639;0.528837823361519;-0.442902565002441;1.67965960502625;0.281025677919388;0.0053300941362977;-0.0178142338991165;0.0728589594364166;-0.408565580844879;2.54530334472656;0.285760104656219;-0.0311756376177073;-0.103987380862236;0.0630116015672684;0.480866253376007;1.8072966337204;0.276060938835144;0.00683220522478223;-0.0153600014746189;0.0630109012126923;0.87988018989563;2.15436625480652;0.262069880962372;-0.039546512067318;-0.236413359642029;-0.0428321771323681
20;0.3;15.5;5.2;0.4;0.860172758975124;0.932368095361988;1.3926438794892;1.15399420850375;1.34813512471138;0.510514216659203;-0.441048532724381;1.67822849750519;0.286379009485245;0.00537305232137442;-0.02410320751369;0.055805329233408;-0.410395532846451;2.53785490989685;0.290727466344833;-0.030275322496891;-0.0997653007507324;0.0497705340385437;0.482424825429916;1.80670893192291;0.2815822660923;0.00985480938106775;-0.0150519190356135;0.0624561458826065;0.875387191772461;2.13260054588318;0.268231600522995;-0.0597126893699169;-0.214372277259827;0.0744117870926857
21;0.3;15.5;5.2;0.4;0.853294888449166;0.932181494599578;1.38033293022874;1.15369943859823;1.34654978587346;0.495984519337885;-0.439067155122757;1.67706513404846;0.28956526517868;0.00724547263234854;-0.0243059322237968;0.0644478499889374;-0.412892818450928;2.52995848655701;0.303017199039459;-0.0322284810245037;-0.0799495875835419;0.0781268328428268;0.484335452318192;1.80469727516174;0.286868005990982;0.0176044441759586;-0.0220878589898348;0.0637113824486733;0.869020462036133;2.11777567863464;0.283768564462662;-0.0809709504246712;-0.167099922895432;0.165290355682373
22;0.3;15.5;5.2;0.4;0.845913562327081;0.931843169048832;1.3821959071459;1.1531331218263;1.34701622833129;0.500397071383032;-0.436693698167801;1.67498910427094;0.292621403932571;0.00554045243188739;-0.0305820517241955;0.0389156565070152;-0.415165930986404;2.5206286907196;0.298880904912949;-0.0278755445033312;-0.0802038237452507;-0.00399364670738578;0.48648339509964;1.80177927017212;0.293088614940643;0.0142031852155924;-0.026230052113533;0.0585643500089645;0.871376216411591;2.12155222892761;0.31113663315773;-0.053147304803133;-0.0952488929033279;0.172328367829323
23;0.3;15.5;5.2;0.4;0.841779313359276;0.931729691897547;1.37151302244254;1.15435034146239;1.34575987709295;0.488119629981169;-0.435069024562836;1.6727032661438;0.295279860496521;0.00518111325800419;-0.0315240919589996;0.0482647456228733;-0.418124914169312;2.51431202888489;0.301405519247055;-0.0296970661729574;-0.0567731969058514;0.0246305298060179;0.488035082817078;1.79919052124023;0.297060877084732;0.0115292919799685;-0.02932701818645;0.0496128089725971;0.865172505378723;2.10907459259033;0.319026798009872;-0.0729148015379906;-0.137328192591667;0.0984610766172409
24;0.3;15.5;5.2;0.4;0.840995985762834;0.931002438312744;1.35899846299967;1.15691254692752;1.34551325228211;0.473537406892821;-0.433205634355545;1.66914498806;0.299188226461411;0.00746643729507923;-0.04412741959095;0.0519631318747997;-0.420710891485214;2.51004815101624;0.313158392906189;-0.0250303987413645;-0.039849579334259;0.0723143517971039;0.489179402589798;1.79552292823792;0.302372813224792;0.00364786922000349;-0.0248614996671677;0.0393200851976871;0.858271718025208;2.09218525886536;0.316602349281311;-0.0739798545837402;-0.180972427129745;-0.0147467944771051
25;0.3;15.5;5.2;0.4;0.836383183542983;0.929850586100002;1.34467899097256;1.1533004938639;1.34508602161273;0.453777771251473;-0.431601107120514;1.66490292549133;0.303004115819931;0.00345661048777401;-0.0465211644768715;0.0733048841357231;-0.420748502016068;2.50121569633484;0.310125738382339;-0.00984061229974031;-0.0587831921875477;-0.01000165194273;0.489399790763855;1.79288518428803;0.306272238492966;-0.00287405052222311;-0.0211835727095604;0.038486085832119;0.851920485496521;2.06581926345825;0.294038355350494;-0.0537877976894379;-0.223005592823029;-0.101442635059357
