i;T_Z;k_f;k_v;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
463;0.3;15.5;5.2;0.4;0.880816221048728;1.03877266499204;0.793336698963352;0.78651817328835;1.33890630914863;0.921723139781137;-0.707542955875397;-0.77213579416275;0.31526306271553;-0.0303125400096178;-0.0296463929116726;-0.00711836293339729;-0.744145750999451;0.107919573783875;0.299493908882141;-0.0309818927198648;0.00707575399428606;0.0148210637271404;0.0285022724419832;-0.0391377918422222;0.295996189117432;-0.0201153494417667;-0.0111621338874102;-0.00493246363475919;0.0631786584854126;-0.960208415985107;0.307562053203583;-0.00152954238001257;-0.00443813810124993;0.0027565083000809
464;0.3;15.5;5.2;0.4;0.89410653668859;1.04028071996118;0.789562596218915;0.787332883220272;1.34398088254045;0.920017017352022;-0.706164360046387;-0.779417216777802;0.313637048006058;0.0220769215375185;-0.0543877556920052;0.00786231085658073;-0.745388805866241;0.113828517496586;0.302586615085602;-0.0246647913008928;0.0380133576691151;0.0305603966116905;0.0265731904655695;-0.040986679494381;0.295932501554489;-0.00632781395688653;-0.0153225697577;0.00238714297302067;0.0623981729149818;-0.96030592918396;0.306417524814606;-0.00412840070202947;-0.0128360688686371;-0.00372272753156722
465;0.3;15.5;5.2;0.4;0.901669386525368;1.04034542072658;0.78499467080671;0.791768162189709;1.34780212087834;0.918244301342976;-0.70278012752533;-0.784309267997742;0.314454823732376;0.0251759476959705;-0.0568607859313488;0.0240702256560326;-0.748910129070282;0.116179324686527;0.303842484951019;-0.0326693318784237;0.0218971129506826;0.0104759884998202;0.0267667751759291;-0.0426355451345444;0.296914309263229;0.00829879101365805;-0.0163187924772501;0.0116327004507184;0.0622566565871239;-0.960193753242493;0.30521285533905;-0.00259489193558693;-0.016141464933753;0.000229889003094286
466;0.3;15.5;5.2;0.4;0.900831636261535;1.03822713174657;0.781208883310664;0.792609677042154;1.34550565363988;0.915838413354125;-0.70040100812912;-0.788717687129974;0.314741760492325;0.0256924405694008;-0.02527666836977;0.00998527742922306;-0.750824272632599;0.110701642930508;0.299245148897171;-0.0280408822000027;-0.0139762982726097;-0.0274996589869261;0.0259614195674658;-0.0468867085874081;0.297526895999908;0.014157522469759;-0.0289308317005634;0.00823877565562725;0.0613378807902336;-0.962041616439819;0.305045664310455;-0.00435222312808037;-0.0220936257392168;0.00391259463503957
467;0.3;15.5;5.2;0.4;0.900350288952197;1.03518501221883;0.78132942398639;0.796517701625504;1.34591613132312;0.909932999405933;-0.699926853179932;-0.788772642612457;0.311432480812073;-0.00945859309285879;0.0117668760940433;-0.0281696505844593;-0.754110217094421;0.10994578152895;0.29720601439476;-0.036566961556673;-0.0159698016941547;-0.022203529253602;0.0260196253657341;-0.0507958680391312;0.300800353288651;0.0201227571815252;-0.0328823290765285;0.0128835458308458;0.0624093860387802;-0.960000932216644;0.30460786819458;0.00456936238333583;-0.0156114669516683;0.00511482544243336
468;0.3;15.5;5.2;0.4;0.89967969000326;1.03304582084745;0.781933628975656;0.802744466569284;1.3513124692527;0.910329895767236;-0.699379920959473;-0.788551032543182;0.307040482759476;0.00304101733490825;0.0213415399193764;-0.00560027733445168;-0.757926464080811;0.109221681952477;0.297331273555756;-0.0431242845952511;-0.0139634683728218;-0.000168446058523841;0.0278685595840216;-0.0548662804067135;0.30158469080925;0.0220655687153339;-0.0302927400916815;0.00666068959981203;0.0624920912086964;-0.964537501335144;0.304059535264969;0.00248925760388374;-0.023809626698494;0.00512855080887675
469;0.3;15.5;5.2;0.4;0.89543501858701;1.02838213866354;0.783713414024188;0.808209131071424;1.35475302328819;0.908139278433523;-0.699652493000031;-0.784301400184631;0.305733650922775;-0.0138755040243268;0.0349936783313751;0.0359191223978996;-0.761851191520691;0.108970783650875;0.298338770866394;-0.0458491258323193;-0.009559559635818;0.0121473940089345;0.0288304165005684;-0.0584346950054169;0.30047670006752;0.0198278408497572;-0.0238922908902168;0.00262825074605644;0.0627211928367615;-0.965941369533539;0.303824186325073;0.000308993156068027;-0.0217936728149652;0.0063742115162313
470;0.3;15.5;5.2;0.4;0.89357106767573;1.02748860875283;0.78514348504017;0.814187630520642;1.35808997129072;0.907571001462682;-0.700078427791595;-0.781956493854523;0.308539420366287;-0.0045434650965035;0.0311157573014498;0.0534132905304432;-0.765137672424316;0.109243005514145;0.299647748470306;-0.0413210466504097;-0.00497584464028478;0.0143404267728329;0.0312229599803686;-0.0602009110152721;0.299972742795944;0.0275819189846516;-0.00357367121614516;-0.000218959219637327;0.0628947392106056;-0.967219114303589;0.303609311580658;-0.00308106746524572;-0.0196617022156715;0.00357342953793704
471;0.3;15.5;5.2;0.4;0.893403080508696;1.02930051856585;0.785811815570138;0.819222306668881;1.36075175129543;0.908891460100606;-0.700315833091736;-0.781116425991058;0.314601719379425;-0.00383348600007594;0.00260782288387418;0.0675627812743187;-0.767365992069244;0.109767034649849;0.30097496509552;-0.0333600081503391;-0.00370335578918457;0.0153047246858478;0.0340878814458847;-0.0599293895065784;0.30054971575737;0.0288197807967663;0.0154817141592503;0.00730006815865636;0.0628604665398598;-0.96836531162262;0.303110748529434;-0.00454621855169535;-0.0201984401792288;0.00150053086690605
472;0.3;15.5;5.2;0.4;0.899001442986183;1.03426334003031;0.784236702590042;0.822926369788995;1.36282862300808;0.910258984137152;-0.699852824211121;-0.786080062389374;0.316963165998459;-0.00662565371021628;-0.0620249100029469;0.0462509654462338;-0.768548429012299;0.110292911529541;0.302148789167404;-0.0250587891787291;-0.0039526280015707;0.00881421752274036;0.0365888960659504;-0.0598884560167789;0.300587594509125;0.0191969852894545;-0.00381966144777834;-5.51611301489174E-05;0.0625661909580231;-0.969776690006256;0.302409261465073;-0.00590636674314737;-0.0239242259413004;-0.000629665853921324
