i;T_Z;k_f;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
132;0.3;0.5;1.00716299449066;1.19809916633494;0.813514736208402;0.75256431953173;1.39428296919951;1.06934144651294;-0.020670723170042;-0.848986566066742;0.323344677686691;0.00794595293700695;-0.0094615388661623;-0.00230294605717063;0.0958463549613953;0.151413887739182;0.322661131620407;-0.0430893152952194;-0.0244900658726692;-0.00171454041264951;0.831572115421295;-0.0068917041644454;0.323034465312958;0.0152092054486275;-0.00200512283481657;-0.00159352773334831;0.761131942272186;-1.07391059398651;0.323411613702774;0.00269466056488454;-0.00489503890275955;-0.00219182227738202
133;0.3;0.5;1.00531931715893;1.19891351689055;0.812970157643029;0.757472088874217;1.39502449351948;1.06977106754238;-0.0206636767834425;-0.851694703102112;0.323169648647308;0.00752726616337895;-0.00995269790291786;-0.00275462656281888;0.0908414646983147;0.147421672940254;0.322515547275543;-0.0417610295116901;-0.0240173172205687;-0.00244324142113328;0.832012116909027;-0.00887941382825375;0.322940647602081;0.014338955283165;-0.00269332714378834;-0.00225194543600082;0.760672867298126;-1.07626914978027;0.323239535093307;0.00291909393854439;-0.00491715595126152;-0.00284226471558213
134;0.3;0.5;1.00363183794346;1.19984490492087;0.812454071924683;0.762380440868231;1.39576118675385;1.07015921550998;-0.0206888783723116;-0.854482769966126;0.322881072759628;0.00710670324042439;-0.0105328848585486;-0.00370317068882287;0.0859714969992638;0.143465340137482;0.322222828865051;-0.0403742976486683;-0.0235712807625532;-0.00345838395878673;0.832556664943695;-0.0109189972281456;0.322686284780502;0.0139418691396713;-0.0028750766068697;-0.00318852183409035;0.760232985019684;-1.0786315202713;0.322941333055496;0.00309893442317843;-0.00490400614216924;-0.00369843491353095
135;0.3;0.5;1.00208353771893;1.20076492708616;0.811984510613115;0.76710417137805;1.39648353404234;1.07048983726085;-0.0207607261836529;-0.857341051101685;0.322532594203949;0.00660379230976105;-0.0110464170575142;-0.00345589220523834;0.0812193676829338;0.139539822936058;0.321933209896088;-0.0391877368092537;-0.0231651607900858;-0.00276839965954423;0.83300518989563;-0.0129950493574142;0.322402775287628;0.0134157659485936;-0.00311963446438313;-0.00287946127355099;0.75981879234314;-1.08098018169403;0.322611838579178;0.00327534042298794;-0.00476428167894483;-0.00320582813583314
136;0.3;0.5;1.00065874825598;1.20170851588763;0.811525072035879;0.771725305393089;1.39719076335966;1.07078101620533;-0.0208620335906744;-0.860269606113434;0.322211503982544;0.00627076951786876;-0.0111315278336406;-0.00322832283563912;0.0765601322054863;0.135635435581207;0.321691632270813;-0.0381244383752346;-0.0228179842233658;-0.00265109585598111;0.83342045545578;-0.0151040684431791;0.322098702192307;0.0125663178041577;-0.00370350969024003;-0.00323335593566298;0.759406924247742;-1.08332407474518;0.322318017482758;0.00334813818335533;-0.00462003378197551;-0.00318848714232445
137;0.3;0.5;0.999331731720576;1.20266126963481;0.811076025378297;0.776179140851934;1.39786462103081;1.07106776071932;-0.0209813062101603;-0.863251328468323;0.321840405464172;0.00571563839912415;-0.0118230432271957;-0.00344374962151051;0.0719927698373795;0.131746023893356;0.3213911652565;-0.0371501967310905;-0.0226410888135433;-0.00293249706737697;0.833749771118164;-0.0171845965087414;0.321749806404114;0.0120081221684814;-0.00369065743871033;-0.00334938568994403;0.759010314941406;-1.08564150333405;0.321974396705627;0.00340991443954408;-0.00445807026699185;-0.00333477952517569
138;0.3;0.5;0.998019107367687;1.20358281130606;0.810734605965305;0.780410362562161;1.39851236060034;1.07136695702369;-0.0211952179670334;-0.866207301616669;0.321536689996719;0.00518468162044883;-0.0118378549814224;-0.00319440080784261;0.0675083324313164;0.127862021327019;0.321132510900497;-0.0363038033246994;-0.0225637014955282;-0.00285653467290103;0.83393132686615;-0.0192302204668522;0.321473956108093;0.0115344803780317;-0.00372161460109055;-0.00349573907442391;0.758626520633698;-1.08794736862183;0.321648508310318;0.0035431447904557;-0.00416173972189426;-0.00362609210424125
139;0.3;0.5;0.996615092747268;1.20451252854514;0.810511265297841;0.78468673166278;1.39910704928096;1.07157703274705;-0.0214996188879013;-0.869046151638031;0.321323662996292;0.00474767573177815;-0.0115548800677061;-0.00287820096127689;0.0630955621600151;0.123972125351429;0.320897936820984;-0.0355169773101807;-0.0225296765565872;-0.00288403267040849;0.834210634231567;-0.0213372427970171;0.32117423415184;0.0110884523019195;-0.00365464668720961;-0.00344669702462852;0.758251130580902;-1.09021866321564;0.321367651224136;0.0036389862652868;-0.00400793412700295;-0.00330616184510291
140;0.3;0.5;0.995281489810595;1.2054418773588;0.810273197931342;0.788853240739771;1.39965972820505;1.07175827587983;-0.0217925645411015;-0.871940791606903;0.321169435977936;0.00433807959780097;-0.011374494060874;-0.00233772839419544;0.0587599724531174;0.120075605809689;0.32075959444046;-0.034684993326664;-0.0225358586758375;-0.00194411771371961;0.834447383880615;-0.0234460830688477;0.320979416370392;0.0106417750939727;-0.00361417653039098;-0.00251462287269533;0.757893860340118;-1.09246683120728;0.321196138858795;0.00374283106066287;-0.00382500165142119;-0.00253299414180219
141;0.3;0.5;0.993954943393461;1.20635879031402;0.81007172417164;0.792959122470358;1.40017481499676;1.07188898792818;-0.0221136678010225;-0.874830901622772;0.321015387773514;0.00393280666321516;-0.0113820321857929;-0.00247183162719011;0.0544983968138695;0.116167090833187;0.320654422044754;-0.033955629914999;-0.0226578526198864;-0.00198117201216519;0.834682762622833;-0.0255951229482889;0.320820778608322;0.010032020509243;-0.0042778393253684;-0.00223890785127878;0.757547497749329;-1.09470510482788;0.321038395166397;0.00380769278854132;-0.00376997631974518;-0.00252246763557196
142;0.3;0.5;0.992665147412668;1.20720433001017;0.809903978950673;0.796888963100453;1.4006660707994;1.07197890461596;-0.0224680453538895;-0.877743303775787;0.320877403020859;0.00359992682933807;-0.0114354323595762;-0.00227166968397796;0.0503058508038521;0.112250663340092;0.320559024810791;-0.0331492237746716;-0.0225376449525356;-0.00191516266204417;0.834795534610748;-0.0277777463197708;0.320719748735428;0.00949090253561735;-0.00456575211137533;-0.00192417344078422;0.757208168506622;-1.09694516658783;0.320889711380005;0.00388894020579755;-0.00371129065752029;-0.00239495211280882
143;0.3;0.5;0.9914395933991;1.20804309976994;0.809771925090417;0.800704708998299;1.40116097361715;1.07206322128343;-0.0228520538657904;-0.880687594413757;0.320678263902664;0.00330307730473578;-0.0116177964955568;-0.00315661798231304;0.0461914502084255;0.108344994485378;0.320392996072769;-0.0323453173041344;-0.0223862882703543;-0.00260843243449926;0.83485746383667;-0.0299805272370577;0.320535600185394;0.00900921691209078;-0.00475816847756505;-0.00299968104809523;0.756879389286041;-1.09920406341553;0.3206767141819;0.00367550901137292;-0.00439648563042283;-0.00317544513382018
144;0.3;0.5;0.990282358024588;1.20889296812419;0.809650368798122;0.804417024495804;1.40163633865709;1.07213792617956;-0.02326450496912;-0.883669793605804;0.320447504520416;0.00300550879910588;-0.011907672509551;-0.00281228171661496;0.0421528741717339;0.104449488222599;0.32022351026535;-0.0316022075712681;-0.0222520902752876;-0.00215165014378726;0.834879398345947;-0.0321938693523407;0.32030588388443;0.00857961550354958;-0.00488163530826569;-0.00287462677806616;0.756542205810547;-1.10146605968475;0.320451557636261;0.00367059768177569;-0.0045192027464509;-0.00283915246836841
