i;T_Z;k_f;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
589;0.3;0.5;0.4;0.926397954464508;1.373357213265;1.03026919076807;1.02703948286434;1.40341168955485;0.938807376370158;-0.298149794340134;-0.534412562847137;0.299780994653702;-0.00107195053715259;-0.000665042840410024;0.00110104714985937;-0.350852012634277;0.39048507809639;0.299747377634048;0.0106909703463316;0.0178222209215164;0.0011106573510915;0.675247967243195;0.434404671192169;0.299737334251404;0.0066731246188283;0.00907403603196144;0.00112522963900119;0.731631457805634;-0.50270801782608;0.299738466739655;-0.00181833864189684;-3.19268765451852E-05;0.000917593424674124
590;0.3;0.5;0.4;0.926618615033281;1.37376634570937;1.03040345698045;1.02707904353253;1.4035019771943;0.939134201297608;-0.297860026359558;-0.532261550426483;0.299820721149445;-0.000900173210538924;0.000447759783128277;0.000139250740176067;-0.350455492734909;0.392863184213638;0.299772530794144;0.0106876268982887;0.0178230050951242;0.00017856786143966;0.675674855709076;0.43699786067009;0.299767464399338;0.00653350446373224;0.0091846939176321;0.000213138002436608;0.732052028179169;-0.500442624092102;0.299767196178436;-0.00179153098724782;4.93303086841479E-05;0.000132024375488982
591;0.3;0.5;0.4;0.926807184221062;1.37390653370878;1.03053923874827;1.02705676580342;1.40359041512455;0.939159125979704;-0.297566026449203;-0.530070960521698;0.299840897321701;-0.000852488214150071;0.000961710466071963;0.000732040440198034;-0.350054711103439;0.395248711109161;0.299784123897552;0.0106915775686502;0.0177958607673645;0.000542197027243674;0.676056981086731;0.439298629760742;0.299779385328293;0.00653002271428704;0.0096470145508647;0.000640676124021411;0.732479155063629;-0.498164117336273;0.299784302711487;-0.0017644923646003;0.000114592039608397;0.000535267870873213
592;0.3;0.5;0.4;0.9271052258292;1.37427859152923;1.0307041661658;1.027097606248;1.40367575666512;0.939309727895131;-0.297293663024902;-0.527992069721222;0.299922406673431;-0.000995655893348157;0.00029035159968771;0.00087701139273122;-0.349652737379074;0.397633463144302;0.299847275018692;0.0106652434915304;0.0177033636718988;0.000765642442274839;0.676497578620911;0.441735863685608;0.299849420785904;0.00656288070604205;0.00979011133313179;0.000871520722284913;0.732910096645355;-0.495878338813782;0.299845427274704;-0.00177479034755379;7.33901106286794E-05;0.000738891132641584
593;0.3;0.5;0.4;0.92760914055025;1.37485439126567;1.03091054437326;1.02714856860119;1.4037624369213;0.939498716856438;-0.297055155038834;-0.526124536991119;0.299997210502625;-0.00120902538765222;-0.00117768987547606;0.000924348132684827;-0.349251925945282;0.400014877319336;0.29991152882576;0.0106258820742369;0.0176181085407734;0.000863413733895868;0.676945447921753;0.44420912861824;0.299914598464966;0.00659298105165362;0.00985200423747301;0.000856694881804287;0.733342051506043;-0.493595361709595;0.299906641244888;-0.00179169175680727;-1.05700237327255E-05;0.000778454297687858
594;0.3;0.5;0.4;0.928334946344232;1.37556432463767;1.03115290487978;1.02717863934567;1.40385304319298;0.939651324308377;-0.296843141317368;-0.524476826190949;0.300014585256577;-0.00134845043066889;-0.00262492243200541;0.000625632237643003;-0.348851501941681;0.402400135993958;0.29992139339447;0.0106087308377028;0.0176396332681179;0.000686423969455063;0.677373766899109;0.446645528078079;0.299923837184906;0.00654614763334394;0.0101414630189538;0.000707701430656016;0.733776271343231;-0.491311490535736;0.299915671348572;-0.00179139897227287;-1.40087413456058E-05;0.000607499037869275
595;0.3;0.5;0.4;0.929230813757323;1.376397041097;1.03141533414051;1.02721911636257;1.40394738579832;0.939786026524126;-0.296640306711197;-0.522987842559814;0.299978703260422;-0.00137354619801044;-0.00367379025556147;0.000148541628732346;-0.348446547985077;0.404797703027725;0.299885720014572;0.0106262676417828;0.0177193321287632;0.000225176539970562;0.67781800031662;0.449071735143662;0.299891382455826;0.00658880732953548;0.0101554393768311;0.000291506468784064;0.734215557575226;-0.489020526409149;0.299879282712936;-0.00177725288085639;1.94473905139603E-05;0.000203479852643795
596;0.3;0.5;0.4;0.930217893682551;1.37726868944209;1.03168153434419;1.02726768932103;1.4040435312305;0.93987627738735;-0.296431422233582;-0.521578252315521;0.299889266490936;-0.0013228477910161;-0.0041915369220078;-0.000159178569447249;-0.348034471273422;0.40720722079277;0.299796491861343;0.0106501039117575;0.0177403669804335;-9.87758830888197E-05;0.678279519081116;0.451462149620056;0.299815058708191;0.00666404981166124;0.00984245724976063;-6.82121026329696E-05;0.734661102294922;-0.486721485853195;0.299792557954788;-0.00177599000744522;-2.36808955378365E-06;-0.000173782973433845
597;0.3;0.5;0.4;0.931215057312654;1.37811759398418;1.03194129084714;1.02732008343888;1.40413793581937;0.939923559113202;-0.296210676431656;-0.520176827907562;0.299834966659546;-0.00126265245489776;-0.00423477636650205;0.000502481998410076;-0.347615092992783;0.409618347883225;0.299738615751266;0.0106831109151244;0.0176551267504692;0.000500053516589105;0.678754031658173;0.453810811042786;0.299770176410675;0.00674139754846692;0.00940376985818148;0.000534615770447999;0.735110998153687;-0.484421670436859;0.299737989902496;-0.00177920085843653;-9.86246595857665E-05;0.0004643238207791
598;0.3;0.5;0.4;0.932171011842645;1.37892185703;1.03219611970109;1.02737335910745;1.4042285928271;0.939945822829165;-0.295979231595993;-0.518740475177765;0.299822926521301;-0.0012458119308576;-0.0040054228156805;0.000467399717308581;-0.347188174724579;0.412022888660431;0.299718528985977;0.010707026347518;0.0175236407667398;0.000526423158589751;0.679237842559814;0.456132411956787;0.299757719039917;0.00679406430572271;0.00909979641437531;0.000479154201457277;0.735567212104797;-0.482124030590057;0.299723088741302;-0.00176201702561229;-0.000166135214385577;0.000472699175588787
